"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
2054463423,"Middlesex County",1.9,162,1927,1625,NA,0,19
2063603935,"Litchfield County",1.78,165,2002,1607,NA,1,4
58124671,"Windham County",1.69,166,1983,1659,NA,0,8
58150699,"Hartford County",2.16,166,1964,1596,NA,0,17
58852347,"Middlesex County",1.9,166,1970,1659,NA,0,10
59973203,"New London County",1.66,166,1975,1638,NA,0,5
60006351,"Hartford County",2.16,166,1963,1617,NA,0,42
157578891,"New London County",1.66,166,1999,1659,NA,0,7
177229433,"Fairfield County",1.69,166,1985,1659,350,0,5
197791557,"Litchfield County",1.78,166,2002,1617,NA,0,5
207190430,"Tolland County",2.06,166,1986,1638,NA,0,4
2055512411,"Hartford County",2.16,166,1993,1617,80,0,15
57274150,"Fairfield County",1.69,167,1961,1646,NA,0,5
57323050,"Fairfield County",1.69,167,1969,1628,NA,0,17
57786189,"Hartford County",2.16,167,1964,1625,NA,0,12
58088285,"New London County",1.66,26,1950,1680,NA,273,4631
58999940,"Tolland County",2.06,167,1981,1638,NA,0,7
174362350,"New Haven County",2.13,167,1954,1596,19,0,4
2074801823,"Hartford County",2.16,167,1987,1634,475,0,4
57394262,"Fairfield County",1.69,168,1890,1659,NA,0,6
57711984,"Hartford County",2.16,168,1976,1596,NA,0,5
59016564,"Hartford County",2.16,168,1957,1646,NA,0,7
59022971,"Hartford County",2.16,168,1993,1680,NA,0,4
59069755,"Hartford County",2.16,168,1968,1607,NA,0,7
58971035,"New London County",1.66,173,1982,1680,NA,0,15
174407707,"New Haven County",2.13,173,2017,1638,13,0,7
177195539,"Fairfield County",1.69,173,1971,1638,379,0,3
197794687,"Litchfield County",1.78,173,1980,1674,NA,0,12
2057632764,"New Haven County",2.13,173,2021,1638,185,0,4
57874851,"Middlesex County",1.9,174,1992,1621,NA,0,6
57905079,"New Haven County",2.13,174,1989,1676,510,0,40
58031000,"New Haven County",2.13,174,1947,1659,NA,0,3
58061794,"New London County",1.66,174,1965,1596,NA,0,26
57711922,"Hartford County",2.16,175,1964,1596,NA,0,9
58004210,"New Haven County",2.13,175,1963,1617,NA,0,10
240537177,"Fairfield County",1.69,175,1980,1596,296,0,10
57885494,"New Haven County",2.13,176,1960,1646,NA,0,2
57905500,"New Haven County",2.13,176,1963,1596,NA,0,5
58156829,"Hartford County",2.16,176,1942,1638,NA,0,24
59008474,"Windham County",1.69,176,1999,1638,NA,0,13
57320208,"Fairfield County",1.69,177,1956,1625,NA,0,6
57876488,"Middlesex County",1.9,177,1950,1617,NA,0,10
58155259,"Hartford County",2.16,177,1959,1680,NA,0,11
58159831,"Hartford County",2.16,177,1979,1662,NA,0,13
58870015,"Litchfield County",1.78,177,1938,1680,NA,0,25
58872336,"Litchfield County",1.78,177,1983,1638,NA,0,12
59290948,"Hartford County",2.16,177,1979,1609,NA,1,13
207192516,"Tolland County",2.06,177,1974,1676,NA,1,5
339526173,"Hartford County",2.16,177,2004,1617,NA,0,2
2054367294,"New Haven County",2.13,177,1996,1638,324,0,3
57801238,"Litchfield County",1.78,180,1890,1596,NA,0,16
57917838,"New Haven County",2.13,180,1923,1596,NA,0,12
57938356,"New Haven County",2.13,180,1922,1596,NA,0,12
57997654,"New Haven County",2.13,180,1950,1680,NA,0,13
58129628,"Hartford County",2.16,180,2002,1621,NA,0,19
58155957,"Hartford County",2.16,180,1941,1617,NA,0,4
58901429,"New Haven County",2.13,180,1963,1634,17,0,10
58919587,"New Haven County",2.13,180,1956,1638,NA,0,5
58959556,"New London County",1.66,180,1977,1596,NA,0,2
60001711,"Hartford County",2.16,180,1970,1596,NA,0,13
174047261,"Hartford County",2.16,180,1960,1634,NA,0,16
174105139,"Hartford County",2.16,180,1966,1617,NA,0,20
174447843,"New Haven County",2.13,180,1988,1596,NA,0,3
177226482,"Fairfield County",1.69,49,1959,2709,NA,88,1693
248940625,"Fairfield County",1.69,180,1927,1596,NA,0,10
2057402332,"Hartford County",2.16,180,2004,1617,346,0,5
57277373,"Fairfield County",1.69,181,1964,1617,NA,0,18
57347719,"Fairfield County",1.69,181,1961,1596,NA,0,10
58994087,"Tolland County",2.06,181,1968,1659,NA,0,25
57897860,"New Haven County",2.13,182,1954,1638,NA,0,5
65800140,"Fairfield County",1.69,182,2004,1596,NA,0,1
157576816,"New London County",1.66,182,2006,1617,NA,0,20
173996261,"Hartford County",2.16,182,2005,1638,424,0,7
177205788,"Fairfield County",1.69,182,1969,1638,1054,0,1
57925644,"New Haven County",2.13,183,1986,1617,NA,0,16
60004516,"Hartford County",2.16,183,1969,1670,NA,0,17
